invoice_id,date,vendor,category,amount,approved_by
INV-10521,2024-05-18,NovaTech Systems,Consulting,2948.42,S.Park
INV-10737,2024-08-14,Meridian IT Solutions,Legal,4378.33,M.Lee
INV-10740,2024-03-22,Apex Office Supplies,Consulting,2233.64,M.Lee
INV-10660,2024-06-16,Blue Ridge Consulting,Office Supplies,227.32,J.Kim
INV-10411,2024-06-09,Blue Ridge Consulting,Catering,657.09,S.Park
INV-10678,2024-05-23,Apex Office Supplies,IT Services,1028.32,C.Choi
INV-10626,2024-02-29,Titan Logistics Co.,Staffing,149.96,J.Kim
INV-10513,2024-04-28,Apex Office Supplies,Consulting,798.87,M.Lee
INV-10859,2024-09-15,Meridian IT Solutions,Office Supplies,12620.18,C.Choi
INV-10136,2024-10-18,Blue Ridge Consulting,Software Licenses,184.33,C.Choi
INV-10811,2024-05-13,NovaTech Systems,Legal,1217.12,J.Kim
INV-10076,2024-05-01,Greenway Staffing,Office Supplies,440.12,S.Park
INV-10636,2024-07-05,Blue Ridge Consulting,Catering,3792.78,S.Park
INV-DLT-N0006,2024-05-04,Delta Management Group,Management,5893.68,S.Park
INV-10938,2024-12-01,Riverfront Catering,Facilities,2251.65,M.Lee
INV-10899,2024-11-19,Apex Office Supplies,IT Services,178.23,C.Choi
INV-10280,2024-06-09,NovaTech Systems,Software Licenses,451.93,C.Choi
INV-10883,2024-03-13,Riverfront Catering,Consulting,1146.15,J.Kim
INV-10761,2024-10-19,Greenway Staffing,Facilities,455.78,M.Lee
INV-10319,2024-05-25,Riverfront Catering,Consulting,354.2,S.Park
INV-10549,2024-09-04,Coastal Marketing Group,Consulting,220.53,M.Lee
INV-10174,2024-06-17,Titan Logistics Co.,Catering,532.03,C.Choi
INV-10371,2024-12-14,Titan Logistics Co.,Logistics,11482.72,M.Lee
INV-10527,2024-05-17,Meridian IT Solutions,Staffing,1888.01,S.Park
INV-10210,2024-04-11,NovaTech Systems,Catering,714.01,C.Choi
INV-10235,2024-03-03,Inland Legal Services,Staffing,3198.79,J.Kim
INV-10101,2024-12-22,Inland Legal Services,Logistics,1238.21,C.Choi
INV-DLT-F0004,2024-11-10,Delta Management Group,Management,92461.66,S.Park
INV-10902,2024-10-28,Coastal Marketing Group,Marketing,1855.43,S.Park
INV-10947,2024-11-21,Meridian IT Solutions,IT Services,969.99,J.Kim
INV-10346,2024-09-11,Coastal Marketing Group,Staffing,94.81,M.Lee
INV-10139,2024-05-21,Greenway Staffing,Logistics,117.82,J.Kim
INV-10621,2024-08-04,Riverfront Catering,Catering,646.43,J.Kim
INV-10499,2024-12-23,Apex Office Supplies,Catering,3078.02,S.Park
INV-10370,2024-02-07,Inland Legal Services,Office Supplies,413.44,M.Lee
INV-10198,2024-12-11,Titan Logistics Co.,Logistics,427.61,C.Choi
INV-10687,2024-03-31,Meridian IT Solutions,Legal,1290.34,J.Kim
INV-10584,2024-12-13,Riverfront Catering,Consulting,483.89,S.Park
INV-10901,2024-10-03,Riverfront Catering,Staffing,272.23,S.Park
INV-10059,2024-11-26,Inland Legal Services,Marketing,4350.26,C.Choi
INV-10328,2024-05-01,Titan Logistics Co.,Marketing,753.04,J.Kim
INV-10096,2024-04-30,Titan Logistics Co.,Marketing,542.46,S.Park
INV-10312,2024-12-20,Meridian IT Solutions,Software Licenses,3800.45,S.Park
INV-DLT-N0007,2024-08-22,Delta Management Group,Management,5703.99,S.Park
INV-10299,2024-05-24,Coastal Marketing Group,Catering,3186.46,C.Choi
INV-10277,2024-08-08,Apex Office Supplies,Office Supplies,5323.3,S.Park
INV-10924,2024-07-29,Meridian IT Solutions,Software Licenses,5300.42,S.Park
INV-10601,2024-04-25,Titan Logistics Co.,Logistics,788.44,C.Choi
INV-10439,2024-05-07,Meridian IT Solutions,IT Services,7794.06,M.Lee
INV-10837,2024-06-24,Summit Facilities Mgmt,Marketing,736.18,C.Choi
INV-10570,2024-07-02,Greenway Staffing,IT Services,1838.26,C.Choi
INV-10879,2024-08-12,Summit Facilities Mgmt,Catering,1323.97,C.Choi
INV-10261,2024-04-24,Meridian IT Solutions,Consulting,7772.38,M.Lee
INV-10578,2024-01-17,Summit Facilities Mgmt,Staffing,91.97,M.Lee
INV-10023,2024-07-16,Inland Legal Services,Catering,2988.95,C.Choi
INV-10030,2024-07-04,NovaTech Systems,Marketing,1052.02,S.Park
INV-10617,2024-10-18,Meridian IT Solutions,Catering,3474.44,M.Lee
INV-10010,2024-02-05,Greenway Staffing,IT Services,1191.45,S.Park
INV-10221,2024-02-08,Titan Logistics Co.,Office Supplies,2192.76,S.Park
INV-10820,2024-10-20,NovaTech Systems,Staffing,5641.46,J.Kim
INV-10296,2024-09-13,Coastal Marketing Group,Office Supplies,15210.18,J.Kim
INV-10054,2024-02-11,Apex Office Supplies,Office Supplies,1131.16,J.Kim
INV-10542,2024-12-20,Riverfront Catering,Catering,11741.24,J.Kim
INV-10209,2024-06-02,Coastal Marketing Group,Catering,19010.21,M.Lee
INV-10604,2024-07-07,Titan Logistics Co.,Marketing,2623.05,S.Park
INV-10692,2024-10-14,Meridian IT Solutions,Software Licenses,136.86,M.Lee
INV-10662,2024-03-30,Summit Facilities Mgmt,IT Services,1755.52,C.Choi
INV-10866,2024-05-24,Inland Legal Services,IT Services,2338.53,M.Lee
INV-10070,2024-05-14,Meridian IT Solutions,Office Supplies,10435.59,C.Choi
INV-10543,2024-10-01,Coastal Marketing Group,Software Licenses,1705.42,J.Kim
INV-10107,2024-02-09,Blue Ridge Consulting,Marketing,2115.66,S.Park
INV-10493,2024-12-08,Titan Logistics Co.,IT Services,170.5,J.Kim
INV-10590,2024-01-02,NovaTech Systems,Consulting,1928.33,C.Choi
INV-10741,2024-09-25,Riverfront Catering,Software Licenses,3308.65,J.Kim
INV-10292,2024-06-29,Summit Facilities Mgmt,Logistics,5363.89,J.Kim
INV-10289,2024-10-15,NovaTech Systems,Software Licenses,5240.18,C.Choi
INV-10652,2024-07-20,Riverfront Catering,Consulting,1419.42,J.Kim
INV-10039,2024-06-18,Titan Logistics Co.,Consulting,491.2,S.Park
INV-10589,2024-12-21,Riverfront Catering,Legal,171.39,C.Choi
INV-10307,2024-01-10,Inland Legal Services,Legal,5355.61,M.Lee
INV-10679,2024-10-26,Riverfront Catering,Facilities,5678.26,S.Park
INV-10066,2024-02-24,Summit Facilities Mgmt,Logistics,1694.58,S.Park
INV-10275,2024-04-14,Greenway Staffing,Marketing,2740.49,S.Park
INV-10067,2024-04-17,Summit Facilities Mgmt,Legal,4461.23,S.Park
INV-10318,2024-09-03,Summit Facilities Mgmt,Legal,2420.55,J.Kim
INV-10548,2024-08-25,NovaTech Systems,Software Licenses,2525.09,S.Park
INV-DUP-0008,2024-08-30,Blue Ridge Consulting,Various,17000.0,M.Lee
INV-10714,2024-02-29,Titan Logistics Co.,Marketing,7892.4,C.Choi
INV-10753,2024-08-23,Inland Legal Services,Marketing,1157.06,S.Park
INV-10327,2024-10-07,Blue Ridge Consulting,Software Licenses,890.39,C.Choi
INV-10382,2024-12-16,NovaTech Systems,Catering,267.33,M.Lee
INV-10451,2024-09-07,Blue Ridge Consulting,Consulting,1048.53,C.Choi
INV-10522,2024-08-17,Titan Logistics Co.,Logistics,995.89,C.Choi
INV-10218,2024-07-31,Summit Facilities Mgmt,Office Supplies,1168.15,S.Park
INV-10787,2024-05-10,Inland Legal Services,Logistics,638.54,J.Kim
INV-10436,2024-05-31,Apex Office Supplies,Software Licenses,2056.2,S.Park
INV-10764,2024-03-06,Summit Facilities Mgmt,Marketing,5086.5,S.Park
INV-10088,2024-12-06,Inland Legal Services,Legal,1122.39,M.Lee
INV-10063,2024-08-12,Coastal Marketing Group,Logistics,616.1,M.Lee
INV-10826,2024-02-28,Coastal Marketing Group,Consulting,1957.79,S.Park
INV-10716,2024-07-08,Riverfront Catering,Catering,2003.81,M.Lee
INV-10351,2024-06-29,Coastal Marketing Group,Software Licenses,22759.76,C.Choi
INV-10936,2024-10-05,Summit Facilities Mgmt,Catering,3964.51,M.Lee
INV-10256,2024-02-13,Titan Logistics Co.,Consulting,5654.57,C.Choi
INV-10635,2024-01-02,Blue Ridge Consulting,IT Services,77.1,J.Kim
INV-10644,2024-09-09,NovaTech Systems,Facilities,1449.29,S.Park
INV-10554,2024-12-12,Coastal Marketing Group,Office Supplies,10263.22,S.Park
INV-BLAW-0009,2024-12-26,Titan Logistics Co.,Consulting,9991.23,J.Kim
INV-10168,2024-09-09,Summit Facilities Mgmt,Staffing,6824.19,J.Kim
INV-10917,2024-06-18,Blue Ridge Consulting,Consulting,9233.8,C.Choi
INV-10528,2024-05-21,Titan Logistics Co.,Catering,2284.15,M.Lee
INV-10823,2024-11-12,Titan Logistics Co.,Marketing,280.66,S.Park
INV-DLT-F0003,2024-12-15,Delta Management Group,Management,70653.74,S.Park
INV-10816,2024-03-21,Apex Office Supplies,Logistics,9768.67,C.Choi
INV-10086,2024-01-23,Greenway Staffing,Catering,4121.04,J.Kim
INV-10432,2024-02-24,Summit Facilities Mgmt,Legal,6710.41,M.Lee
INV-10184,2024-05-29,Meridian IT Solutions,Logistics,6929.73,M.Lee
INV-DLT-N0011,2024-04-22,Delta Management Group,Management,5692.28,S.Park
INV-10534,2024-07-22,Coastal Marketing Group,Legal,1005.61,M.Lee
INV-10294,2024-02-16,Summit Facilities Mgmt,Software Licenses,2493.18,C.Choi
INV-10892,2024-12-03,NovaTech Systems,Marketing,4722.09,S.Park
INV-10425,2024-06-18,Apex Office Supplies,Staffing,6196.68,J.Kim
INV-10713,2024-04-15,Blue Ridge Consulting,Office Supplies,2589.51,M.Lee
INV-10260,2024-06-29,Summit Facilities Mgmt,Consulting,4235.04,S.Park
INV-10237,2024-03-05,Coastal Marketing Group,Software Licenses,2138.39,S.Park
INV-10559,2024-02-02,Summit Facilities Mgmt,Software Licenses,264.81,J.Kim
INV-10583,2024-05-29,Coastal Marketing Group,Marketing,3907.66,M.Lee
INV-10445,2024-11-06,NovaTech Systems,Legal,3303.39,C.Choi
INV-10867,2024-08-16,Riverfront Catering,Staffing,563.66,J.Kim
INV-10800,2024-01-26,Summit Facilities Mgmt,Consulting,4206.79,S.Park
INV-10599,2024-12-24,Inland Legal Services,Facilities,10552.42,C.Choi
INV-10849,2024-12-16,Inland Legal Services,Legal,1121.14,J.Kim
INV-10265,2024-06-07,Meridian IT Solutions,Legal,588.16,M.Lee
INV-DUP-0005,2024-09-10,Apex Office Supplies,Various,2350.5,M.Lee
INV-10529,2024-07-03,NovaTech Systems,Marketing,163.32,S.Park
INV-10055,2024-04-30,Greenway Staffing,Catering,4180.36,J.Kim
INV-10120,2024-07-13,Coastal Marketing Group,Marketing,889.83,C.Choi
INV-10215,2024-11-13,Blue Ridge Consulting,Marketing,13784.2,S.Park
INV-10025,2024-11-24,Riverfront Catering,Legal,450.75,J.Kim
INV-10072,2024-12-19,Titan Logistics Co.,Office Supplies,389.23,J.Kim
INV-10044,2024-02-25,Inland Legal Services,Facilities,91.97,S.Park
INV-10247,2024-01-16,NovaTech Systems,IT Services,5129.02,C.Choi
INV-10721,2024-07-17,Riverfront Catering,Logistics,387.94,C.Choi
INV-10281,2024-11-23,Greenway Staffing,Catering,12880.78,M.Lee
INV-10893,2024-06-10,Greenway Staffing,Catering,18370.6,S.Park
INV-10914,2024-03-12,Greenway Staffing,Staffing,1659.44,S.Park
INV-10810,2024-09-06,Meridian IT Solutions,Consulting,7109.52,C.Choi
INV-10244,2024-02-02,Riverfront Catering,Staffing,613.84,C.Choi
INV-10822,2024-01-19,Titan Logistics Co.,Logistics,40506.94,J.Kim
INV-10321,2024-04-23,Titan Logistics Co.,Staffing,731.54,M.Lee
INV-10643,2024-06-04,Summit Facilities Mgmt,Software Licenses,2829.34,S.Park
INV-10158,2024-08-14,Riverfront Catering,Marketing,618.83,C.Choi
INV-DLT-N0010,2024-02-04,Delta Management Group,Management,4956.68,S.Park
INV-10429,2024-01-20,Riverfront Catering,Office Supplies,69.5,C.Choi
INV-10941,2024-12-14,Greenway Staffing,Catering,3964.8,S.Park
INV-10462,2024-04-27,Riverfront Catering,Facilities,963.19,C.Choi
INV-10309,2024-03-20,Blue Ridge Consulting,Consulting,329.58,M.Lee
INV-10697,2024-06-12,Titan Logistics Co.,Office Supplies,586.4,J.Kim
INV-10060,2024-02-07,Coastal Marketing Group,IT Services,249.84,C.Choi
INV-10884,2024-07-20,Apex Office Supplies,Logistics,13060.19,J.Kim
INV-10595,2024-03-21,NovaTech Systems,Staffing,1142.51,C.Choi
INV-10767,2024-03-01,Greenway Staffing,Staffing,8899.23,J.Kim
INV-10649,2024-03-13,Apex Office Supplies,Marketing,809.33,J.Kim
INV-10650,2024-09-23,Apex Office Supplies,Catering,2563.06,M.Lee
INV-10865,2024-06-13,Apex Office Supplies,Catering,6177.13,J.Kim
INV-10668,2024-06-18,Meridian IT Solutions,Consulting,166.36,J.Kim
INV-10298,2024-08-12,Apex Office Supplies,Staffing,3757.75,S.Park
INV-10689,2024-02-07,Riverfront Catering,Legal,629.08,C.Choi
INV-10314,2024-08-17,Greenway Staffing,Facilities,5854.3,S.Park
INV-10310,2024-10-03,Titan Logistics Co.,Logistics,6957.83,J.Kim
INV-10361,2024-04-19,Summit Facilities Mgmt,Software Licenses,1868.22,M.Lee
INV-10479,2024-10-27,Titan Logistics Co.,Logistics,4952.35,S.Park
INV-10110,2024-06-18,Titan Logistics Co.,Logistics,2115.11,C.Choi
INV-DLT-F0007,2024-10-05,Delta Management Group,Management,64763.02,S.Park
INV-10486,2024-10-15,Coastal Marketing Group,Facilities,5153.33,S.Park
INV-10363,2024-08-15,Meridian IT Solutions,Consulting,602.88,M.Lee
INV-10254,2024-02-18,NovaTech Systems,Legal,460.62,C.Choi
INV-10259,2024-12-06,Inland Legal Services,Catering,3630.66,J.Kim
INV-10802,2024-01-24,Titan Logistics Co.,IT Services,1971.42,S.Park
INV-10677,2024-01-14,Inland Legal Services,Legal,8752.05,S.Park
INV-10494,2024-11-18,Inland Legal Services,Facilities,7121.06,J.Kim
INV-10670,2024-12-15,NovaTech Systems,Catering,5549.58,S.Park
INV-10377,2024-10-30,Riverfront Catering,Software Licenses,9212.71,S.Park
INV-10526,2024-12-16,Greenway Staffing,Catering,2593.39,S.Park
INV-10845,2024-03-23,Summit Facilities Mgmt,Marketing,660.14,M.Lee
INV-10137,2024-06-15,Coastal Marketing Group,Office Supplies,1353.09,C.Choi
INV-10355,2024-11-26,Meridian IT Solutions,Legal,733.42,M.Lee
INV-10365,2024-12-30,Summit Facilities Mgmt,Office Supplies,270.1,M.Lee
INV-10942,2024-10-12,Inland Legal Services,Staffing,12773.66,S.Park
INV-10749,2024-12-12,Blue Ridge Consulting,Facilities,3027.03,M.Lee
INV-10948,2024-11-03,Meridian IT Solutions,Catering,7848.59,J.Kim
INV-10829,2024-11-08,Inland Legal Services,Facilities,1403.04,S.Park
INV-10656,2024-02-24,Greenway Staffing,Office Supplies,1830.85,C.Choi
INV-10199,2024-09-06,Coastal Marketing Group,Logistics,3640.66,J.Kim
INV-10213,2024-12-17,Apex Office Supplies,IT Services,12784.31,C.Choi
INV-10408,2024-10-23,Summit Facilities Mgmt,Software Licenses,455.0,S.Park
INV-10332,2024-05-03,Apex Office Supplies,Software Licenses,8544.67,C.Choi
INV-10208,2024-03-21,Summit Facilities Mgmt,Consulting,11620.59,C.Choi
INV-10613,2024-04-06,Riverfront Catering,Catering,3685.49,M.Lee
INV-10078,2024-12-25,Summit Facilities Mgmt,Consulting,1963.7,C.Choi
INV-10029,2024-09-28,Riverfront Catering,IT Services,301.36,M.Lee
INV-10535,2024-05-04,NovaTech Systems,Legal,423.01,C.Choi
INV-10695,2024-11-04,Greenway Staffing,Legal,1368.41,S.Park
INV-10557,2024-11-10,Inland Legal Services,Facilities,1225.0,C.Choi
INV-10836,2024-08-02,Riverfront Catering,Software Licenses,1901.69,S.Park
INV-10596,2024-08-07,Apex Office Supplies,Facilities,308.01,S.Park
INV-10165,2024-04-25,Inland Legal Services,Office Supplies,2621.5,M.Lee
INV-10918,2024-10-29,NovaTech Systems,Office Supplies,5928.32,C.Choi
INV-10495,2024-09-15,Meridian IT Solutions,Staffing,2936.63,M.Lee
INV-10824,2024-07-05,NovaTech Systems,IT Services,258.4,S.Park
INV-10065,2024-12-05,Riverfront Catering,Consulting,6127.95,S.Park
INV-10141,2024-05-03,NovaTech Systems,Staffing,20231.58,C.Choi
INV-10925,2024-04-03,Greenway Staffing,Software Licenses,87.95,M.Lee
INV-10827,2024-11-20,Apex Office Supplies,Marketing,1129.38,M.Lee
INV-10655,2024-02-08,NovaTech Systems,Facilities,1907.02,S.Park
INV-10331,2024-03-14,Riverfront Catering,Marketing,4323.94,C.Choi
INV-10664,2024-03-12,NovaTech Systems,Consulting,951.88,J.Kim
INV-10249,2024-06-13,Titan Logistics Co.,Software Licenses,604.85,S.Park
INV-10907,2024-07-08,Blue Ridge Consulting,Facilities,3539.1,J.Kim
INV-10708,2024-06-18,Meridian IT Solutions,Facilities,277.62,S.Park
INV-10305,2024-02-13,Greenway Staffing,Marketing,453.65,C.Choi
INV-10734,2024-06-18,Apex Office Supplies,Facilities,4565.3,J.Kim
INV-DLT-N0008,2024-10-27,Delta Management Group,Management,6155.06,S.Park
INV-10049,2024-03-25,Inland Legal Services,Catering,69.2,J.Kim
INV-10896,2024-06-05,NovaTech Systems,Staffing,1555.56,J.Kim
INV-10002,2024-01-16,Greenway Staffing,Consulting,12751.22,S.Park
INV-10544,2024-12-02,Titan Logistics Co.,Legal,34.07,S.Park
INV-10350,2024-08-06,NovaTech Systems,Office Supplies,10073.22,C.Choi
INV-10904,2024-05-02,Riverfront Catering,Software Licenses,2147.35,S.Park
INV-10536,2024-07-20,Summit Facilities Mgmt,Legal,170.65,J.Kim
INV-10344,2024-06-18,Apex Office Supplies,Marketing,251.88,J.Kim
INV-DUP-0004,2024-09-10,Apex Office Supplies,Various,2350.5,M.Lee
INV-10481,2024-03-01,Blue Ridge Consulting,Staffing,155.16,S.Park
INV-10575,2024-09-10,NovaTech Systems,Logistics,1723.66,J.Kim
INV-10033,2024-03-25,NovaTech Systems,Marketing,140.09,C.Choi
INV-10031,2024-10-17,Apex Office Supplies,Consulting,9576.34,J.Kim
INV-10231,2024-03-20,Greenway Staffing,Catering,500.93,J.Kim
INV-SHELL-0001,2024-08-20,Alpha Business Services LLC,Consulting,859074.09,J.Kim
INV-10192,2024-07-29,Blue Ridge Consulting,IT Services,499.74,M.Lee
INV-10333,2024-02-13,Meridian IT Solutions,Logistics,5044.16,M.Lee
INV-10003,2024-01-14,Blue Ridge Consulting,Logistics,23532.1,S.Park
INV-10204,2024-10-16,Blue Ridge Consulting,Office Supplies,3089.09,S.Park
INV-10514,2024-10-31,Greenway Staffing,Catering,226.61,M.Lee
INV-10799,2024-11-25,Titan Logistics Co.,Facilities,415.61,C.Choi
INV-10306,2024-12-09,Coastal Marketing Group,Logistics,1447.6,J.Kim
INV-10109,2024-12-21,Meridian IT Solutions,Office Supplies,1690.87,S.Park
INV-10430,2024-01-19,Meridian IT Solutions,Catering,123.56,C.Choi
INV-10077,2024-06-19,Inland Legal Services,Catering,1381.46,S.Park
INV-10084,2024-08-10,Apex Office Supplies,Legal,873.37,M.Lee
INV-10286,2024-06-27,Riverfront Catering,Legal,7286.29,S.Park
INV-10082,2024-07-23,Coastal Marketing Group,Logistics,22800.23,M.Lee
INV-DUP-0001,2024-03-15,Meridian IT Solutions,Various,12450.0,M.Lee
INV-10789,2024-08-01,Apex Office Supplies,Staffing,2533.42,C.Choi
INV-10894,2024-04-23,Apex Office Supplies,Catering,6272.58,M.Lee
INV-10398,2024-11-15,Riverfront Catering,Software Licenses,1630.94,J.Kim
INV-10323,2024-02-11,Blue Ridge Consulting,Legal,11886.38,S.Park
INV-10519,2024-11-20,Inland Legal Services,Office Supplies,855.24,C.Choi
INV-10916,2024-07-04,Meridian IT Solutions,Software Licenses,3124.74,J.Kim
INV-10922,2024-11-22,Greenway Staffing,IT Services,460.8,M.Lee
INV-10005,2024-03-22,Apex Office Supplies,Catering,319.21,M.Lee
INV-10731,2024-02-21,Titan Logistics Co.,Marketing,4085.25,M.Lee
INV-10465,2024-01-18,Titan Logistics Co.,Staffing,1481.97,J.Kim
INV-10097,2024-01-24,Blue Ridge Consulting,Facilities,2286.89,C.Choi
INV-10266,2024-03-14,Apex Office Supplies,Software Licenses,7857.08,C.Choi
INV-10357,2024-07-09,NovaTech Systems,Staffing,302.28,J.Kim
INV-10868,2024-04-08,Summit Facilities Mgmt,Legal,779.42,J.Kim
INV-10798,2024-03-17,Greenway Staffing,Consulting,8265.31,J.Kim
INV-10380,2024-08-01,Blue Ridge Consulting,Software Licenses,174.21,J.Kim
INV-10631,2024-05-19,Coastal Marketing Group,Logistics,1862.27,J.Kim
INV-10381,2024-10-06,NovaTech Systems,Marketing,221.54,M.Lee
INV-10490,2024-09-07,Summit Facilities Mgmt,Staffing,400.23,C.Choi
INV-10118,2024-08-24,Inland Legal Services,Office Supplies,5057.06,J.Kim
INV-10900,2024-01-19,Greenway Staffing,Logistics,2519.48,M.Lee
INV-10250,2024-11-15,Titan Logistics Co.,Software Licenses,581.26,M.Lee
INV-10523,2024-06-30,Titan Logistics Co.,Logistics,3021.59,J.Kim
INV-10009,2024-11-17,Titan Logistics Co.,Software Licenses,11846.55,M.Lee
INV-10196,2024-07-28,Apex Office Supplies,Office Supplies,166.69,J.Kim
INV-10603,2024-04-27,Meridian IT Solutions,Catering,20930.16,J.Kim
INV-10081,2024-05-22,Blue Ridge Consulting,Consulting,2493.4,M.Lee
INV-10783,2024-09-07,Coastal Marketing Group,Legal,742.92,S.Park
INV-10587,2024-11-19,NovaTech Systems,Marketing,841.46,C.Choi
INV-10797,2024-01-07,Coastal Marketing Group,Consulting,3338.75,J.Kim
INV-10239,2024-03-16,Blue Ridge Consulting,Software Licenses,3893.99,J.Kim
INV-10290,2024-11-15,Greenway Staffing,Legal,7004.54,M.Lee
INV-10211,2024-10-19,Titan Logistics Co.,Legal,5024.14,M.Lee
INV-10717,2024-05-14,Meridian IT Solutions,Staffing,9002.08,C.Choi
INV-10359,2024-02-28,Summit Facilities Mgmt,IT Services,858.76,S.Park
INV-10449,2024-09-15,Apex Office Supplies,Facilities,139.88,S.Park
INV-10227,2024-08-25,Titan Logistics Co.,Marketing,3810.74,C.Choi
INV-BLAW-0000,2024-07-24,Greenway Staffing,Consulting,993.23,J.Kim
INV-10946,2024-06-22,Blue Ridge Consulting,Logistics,2785.36,J.Kim
INV-10796,2024-09-11,Meridian IT Solutions,Facilities,1744.81,C.Choi
INV-10501,2024-05-09,Blue Ridge Consulting,Legal,30840.73,M.Lee
INV-10464,2024-01-09,Inland Legal Services,Facilities,7490.35,S.Park
INV-10362,2024-03-10,NovaTech Systems,Consulting,1639.45,C.Choi
INV-10468,2024-10-21,Blue Ridge Consulting,Legal,237.34,M.Lee
INV-10935,2024-09-01,Inland Legal Services,Facilities,1150.73,J.Kim
INV-10428,2024-02-15,Summit Facilities Mgmt,Software Licenses,16998.78,S.Park
INV-10007,2024-06-25,Inland Legal Services,Software Licenses,3607.21,M.Lee
INV-10155,2024-02-07,Titan Logistics Co.,Software Licenses,4914.54,J.Kim
INV-10541,2024-11-02,Inland Legal Services,Staffing,654.1,C.Choi
INV-10440,2024-05-16,Inland Legal Services,Legal,2554.62,M.Lee
INV-10482,2024-07-22,Greenway Staffing,Facilities,80.93,M.Lee
INV-10422,2024-04-19,Summit Facilities Mgmt,Facilities,314.52,M.Lee
INV-10778,2024-12-12,Riverfront Catering,IT Services,1690.89,S.Park
INV-10949,2024-07-08,Titan Logistics Co.,Consulting,2250.72,J.Kim
INV-10334,2024-10-05,Titan Logistics Co.,Logistics,1069.69,J.Kim
INV-10576,2024-10-05,Greenway Staffing,Legal,2235.13,J.Kim
INV-10934,2024-12-22,Greenway Staffing,Software Licenses,626.42,J.Kim
INV-10567,2024-07-15,Greenway Staffing,Catering,729.76,S.Park
INV-10594,2024-01-25,Coastal Marketing Group,IT Services,1138.58,J.Kim
INV-10530,2024-04-10,NovaTech Systems,Staffing,12670.28,J.Kim
INV-10581,2024-04-15,Meridian IT Solutions,Facilities,6058.99,J.Kim
INV-10707,2024-03-25,Inland Legal Services,Software Licenses,2332.73,C.Choi
INV-10448,2024-02-09,Riverfront Catering,Software Licenses,241.32,J.Kim
INV-10453,2024-08-24,Greenway Staffing,Marketing,2845.92,J.Kim
INV-10228,2024-01-20,Titan Logistics Co.,Marketing,949.78,C.Choi
INV-10352,2024-01-30,Summit Facilities Mgmt,Consulting,14770.12,C.Choi
INV-10728,2024-06-15,Riverfront Catering,Marketing,1112.33,C.Choi
INV-10212,2024-12-03,Summit Facilities Mgmt,Catering,4266.72,M.Lee
INV-10079,2024-04-23,Apex Office Supplies,Facilities,55.28,C.Choi
INV-10148,2024-05-21,Blue Ridge Consulting,Software Licenses,679.9,M.Lee
INV-10302,2024-12-02,Summit Facilities Mgmt,Software Licenses,851.75,S.Park
INV-10628,2024-12-25,Apex Office Supplies,IT Services,426.55,S.Park
INV-10777,2024-07-10,Apex Office Supplies,IT Services,6814.02,M.Lee
INV-10506,2024-02-18,Coastal Marketing Group,Logistics,5352.53,J.Kim
INV-10342,2024-10-05,Summit Facilities Mgmt,Staffing,9618.82,M.Lee
INV-10485,2024-06-12,NovaTech Systems,Facilities,97.29,M.Lee
INV-10711,2024-01-02,Meridian IT Solutions,Catering,1657.32,J.Kim
INV-10133,2024-09-24,Inland Legal Services,Marketing,2768.98,C.Choi
INV-10703,2024-01-18,NovaTech Systems,Marketing,508.97,J.Kim
INV-10311,2024-11-12,Coastal Marketing Group,Office Supplies,1210.49,C.Choi
INV-10722,2024-08-31,Riverfront Catering,Software Licenses,3153.51,S.Park
INV-10629,2024-09-24,NovaTech Systems,Logistics,1204.95,M.Lee
