invoice_id,date,vendor,category,amount,approved_by
INV-10000,2024-05-20,Titan Logistics Co.,Facilities,2827.2,S.Park
INV-10316,2024-08-24,Greenway Staffing,Marketing,797.88,C.Choi
INV-10706,2024-11-10,Coastal Marketing Group,Staffing,3306.68,J.Kim
INV-10547,2024-10-12,Riverfront Catering,Software Licenses,329.3,S.Park
INV-10872,2024-06-18,Meridian IT Solutions,IT Services,522.49,J.Kim
INV-10532,2024-08-08,Coastal Marketing Group,Software Licenses,7736.81,S.Park
INV-10477,2024-02-17,NovaTech Systems,Logistics,550.73,S.Park
INV-10404,2024-06-02,Greenway Staffing,Software Licenses,257.22,M.Lee
INV-10172,2024-10-26,Summit Facilities Mgmt,Catering,1686.83,C.Choi
INV-10125,2024-07-07,NovaTech Systems,Office Supplies,37545.88,J.Kim
INV-10394,2024-02-25,Summit Facilities Mgmt,Catering,18501.52,S.Park
INV-10420,2024-03-15,Inland Legal Services,Marketing,3167.66,J.Kim
INV-10552,2024-08-12,Coastal Marketing Group,Staffing,18351.15,M.Lee
INV-10903,2024-02-16,NovaTech Systems,Catering,19829.31,M.Lee
INV-10090,2024-12-22,Inland Legal Services,Marketing,1973.12,S.Park
INV-10939,2024-03-20,Inland Legal Services,Catering,1088.25,M.Lee
INV-10181,2024-11-07,Apex Office Supplies,Facilities,171.2,S.Park
INV-10274,2024-01-24,Riverfront Catering,Facilities,4076.3,C.Choi
INV-10895,2024-06-18,Coastal Marketing Group,Staffing,3241.65,C.Choi
INV-10069,2024-01-23,Inland Legal Services,IT Services,211.64,M.Lee
INV-10291,2024-08-28,Meridian IT Solutions,Staffing,5738.19,M.Lee
INV-10131,2024-01-07,Riverfront Catering,Catering,8501.47,C.Choi
INV-10300,2024-01-27,Coastal Marketing Group,Legal,4535.56,J.Kim
INV-10424,2024-09-28,Blue Ridge Consulting,Facilities,3231.94,S.Park
INV-10326,2024-02-10,NovaTech Systems,IT Services,18227.33,M.Lee
INV-10144,2024-06-25,NovaTech Systems,Catering,9719.78,M.Lee
INV-10423,2024-03-11,Riverfront Catering,Consulting,15996.09,S.Park
INV-10580,2024-10-28,Blue Ridge Consulting,Legal,2451.97,C.Choi
INV-10135,2024-02-14,Blue Ridge Consulting,Marketing,1900.62,C.Choi
INV-10450,2024-09-23,Meridian IT Solutions,Staffing,1708.87,J.Kim
INV-10164,2024-05-15,Titan Logistics Co.,Software Licenses,15904.59,S.Park
INV-10028,2024-03-19,Riverfront Catering,Legal,5321.73,S.Park
INV-10773,2024-03-31,Coastal Marketing Group,Legal,16007.11,J.Kim
INV-10193,2024-07-14,NovaTech Systems,Catering,116.08,S.Park
INV-10388,2024-01-26,Blue Ridge Consulting,Marketing,4253.01,C.Choi
INV-10852,2024-03-31,Blue Ridge Consulting,Consulting,1018.77,S.Park
INV-10169,2024-08-09,Greenway Staffing,Legal,917.49,M.Lee
INV-10705,2024-03-23,Meridian IT Solutions,Consulting,739.53,J.Kim
INV-10140,2024-02-13,Riverfront Catering,Facilities,506.47,C.Choi
INV-10173,2024-07-28,Titan Logistics Co.,Legal,10288.75,M.Lee
INV-10006,2024-06-21,Summit Facilities Mgmt,Consulting,7489.76,J.Kim
INV-10745,2024-09-07,Apex Office Supplies,Software Licenses,940.89,C.Choi
INV-10478,2024-12-10,Apex Office Supplies,Software Licenses,28882.55,J.Kim
INV-10073,2024-03-16,Coastal Marketing Group,Catering,24227.67,S.Park
INV-10910,2024-05-20,Riverfront Catering,Marketing,6532.57,S.Park
INV-10813,2024-12-18,Coastal Marketing Group,Software Licenses,9298.31,J.Kim
INV-10238,2024-10-10,Titan Logistics Co.,Facilities,208.14,S.Park
INV-10145,2024-05-18,Coastal Marketing Group,Marketing,881.67,M.Lee
INV-10792,2024-03-11,Greenway Staffing,Catering,9799.68,J.Kim
INV-10234,2024-11-26,Coastal Marketing Group,Legal,36343.14,J.Kim
INV-10220,2024-09-03,Meridian IT Solutions,Marketing,14518.7,M.Lee
INV-10923,2024-11-06,Titan Logistics Co.,Staffing,962.84,C.Choi
INV-10500,2024-09-25,Titan Logistics Co.,Office Supplies,1018.59,S.Park
INV-10132,2024-07-04,Titan Logistics Co.,Staffing,3852.15,S.Park
INV-DUP-0000,2024-03-15,Meridian IT Solutions,Various,12450.0,M.Lee
INV-10774,2024-04-17,Apex Office Supplies,Office Supplies,12522.31,S.Park
INV-10185,2024-08-29,Inland Legal Services,Facilities,823.86,C.Choi
INV-10041,2024-05-04,Greenway Staffing,Staffing,9135.82,C.Choi
INV-10696,2024-09-11,Greenway Staffing,Office Supplies,2424.84,M.Lee
INV-10108,2024-10-03,Summit Facilities Mgmt,Consulting,2279.69,S.Park
INV-10588,2024-11-20,Inland Legal Services,Consulting,14490.3,C.Choi
INV-10056,2024-10-31,Greenway Staffing,IT Services,849.55,J.Kim
INV-10405,2024-09-29,Riverfront Catering,Staffing,752.09,M.Lee
INV-10442,2024-03-01,Blue Ridge Consulting,Staffing,281.27,M.Lee
INV-10757,2024-05-21,Summit Facilities Mgmt,Marketing,9222.35,M.Lee
INV-DUP-0007,2024-11-05,NovaTech Systems,Various,34200.0,M.Lee
INV-10024,2024-10-10,Riverfront Catering,IT Services,1107.72,J.Kim
INV-10467,2024-01-29,Riverfront Catering,Office Supplies,3575.13,M.Lee
INV-10539,2024-07-28,Titan Logistics Co.,Staffing,226.58,S.Park
INV-10531,2024-07-21,Meridian IT Solutions,Legal,405.3,C.Choi
INV-10618,2024-08-29,Riverfront Catering,Consulting,11346.97,J.Kim
INV-10694,2024-01-01,Summit Facilities Mgmt,Software Licenses,3083.41,C.Choi
INV-10926,2024-06-24,Meridian IT Solutions,Staffing,230.69,J.Kim
INV-10338,2024-10-06,Meridian IT Solutions,Legal,2621.86,S.Park
INV-10051,2024-09-06,Riverfront Catering,Office Supplies,6188.47,S.Park
INV-10507,2024-12-20,Blue Ridge Consulting,Software Licenses,830.82,C.Choi
INV-10516,2024-07-11,Coastal Marketing Group,Catering,11506.21,S.Park
INV-10920,2024-01-21,Meridian IT Solutions,Software Licenses,17180.7,S.Park
INV-10781,2024-06-01,Titan Logistics Co.,Marketing,106.13,C.Choi
INV-10264,2024-12-21,Greenway Staffing,Marketing,313.38,J.Kim
INV-10817,2024-02-08,NovaTech Systems,Staffing,982.04,M.Lee
INV-10710,2024-01-26,Summit Facilities Mgmt,Catering,2186.19,C.Choi
INV-10682,2024-06-11,Meridian IT Solutions,Legal,1127.7,J.Kim
INV-10832,2024-08-18,Greenway Staffing,Staffing,732.36,S.Park
INV-10518,2024-02-12,Blue Ridge Consulting,Marketing,445.56,S.Park
INV-10447,2024-02-11,Greenway Staffing,Logistics,157.61,C.Choi
INV-10018,2024-07-21,Blue Ridge Consulting,Staffing,4291.46,S.Park
INV-10715,2024-12-04,NovaTech Systems,Marketing,17541.26,J.Kim
INV-10483,2024-09-30,Summit Facilities Mgmt,Legal,2171.38,M.Lee
INV-10568,2024-12-21,NovaTech Systems,Office Supplies,2187.35,S.Park
INV-10433,2024-10-05,NovaTech Systems,Logistics,826.78,C.Choi
INV-10367,2024-10-10,NovaTech Systems,Software Licenses,1828.65,M.Lee
INV-10083,2024-05-13,Apex Office Supplies,Office Supplies,1134.06,M.Lee
INV-10061,2024-02-21,Greenway Staffing,Consulting,335.07,S.Park
INV-10638,2024-08-01,Blue Ridge Consulting,Legal,566.25,M.Lee
INV-10272,2024-09-19,Inland Legal Services,Consulting,5150.49,M.Lee
INV-10285,2024-03-27,Coastal Marketing Group,Consulting,312.04,J.Kim
INV-10360,2024-10-14,NovaTech Systems,Consulting,11655.61,M.Lee
INV-10354,2024-12-13,Meridian IT Solutions,Staffing,395.83,J.Kim
INV-10456,2024-08-29,Titan Logistics Co.,IT Services,362.48,M.Lee
INV-10278,2024-04-27,Inland Legal Services,Logistics,8508.84,M.Lee
INV-10012,2024-07-05,Summit Facilities Mgmt,Office Supplies,9598.61,M.Lee
INV-10182,2024-10-09,Summit Facilities Mgmt,Catering,3829.06,J.Kim
INV-10368,2024-10-09,NovaTech Systems,Office Supplies,444.82,J.Kim
INV-10881,2024-10-06,Inland Legal Services,Marketing,237.25,S.Park
INV-10615,2024-11-22,Titan Logistics Co.,Software Licenses,2031.03,J.Kim
INV-10223,2024-10-01,Inland Legal Services,Consulting,423.5,C.Choi
INV-10572,2024-07-31,Inland Legal Services,Staffing,10186.81,C.Choi
INV-DLT-N0003,2024-10-21,Delta Management Group,Management,4625.35,S.Park
INV-10653,2024-03-07,Inland Legal Services,Facilities,3734.73,M.Lee
INV-10545,2024-11-26,Greenway Staffing,Catering,882.53,M.Lee
INV-10582,2024-05-23,Greenway Staffing,Software Licenses,3195.52,S.Park
INV-10633,2024-01-29,NovaTech Systems,Staffing,6010.02,S.Park
INV-10176,2024-05-09,NovaTech Systems,Legal,1829.32,J.Kim
INV-10665,2024-04-23,Apex Office Supplies,Office Supplies,448.73,S.Park
INV-10673,2024-10-08,Summit Facilities Mgmt,Staffing,6247.84,J.Kim
INV-10585,2024-05-21,Inland Legal Services,Office Supplies,517.09,S.Park
INV-10873,2024-05-08,Titan Logistics Co.,Logistics,936.51,J.Kim
INV-10393,2024-09-10,Apex Office Supplies,Software Licenses,9398.57,C.Choi
INV-10163,2024-12-27,Apex Office Supplies,Marketing,863.84,C.Choi
INV-10248,2024-02-25,Inland Legal Services,Staffing,27884.27,C.Choi
INV-10634,2024-02-22,Coastal Marketing Group,Software Licenses,727.13,J.Kim
INV-10885,2024-06-25,Summit Facilities Mgmt,Facilities,9528.44,C.Choi
INV-10669,2024-10-20,NovaTech Systems,Catering,4828.81,C.Choi
INV-10375,2024-02-10,Riverfront Catering,Marketing,187.29,S.Park
INV-10412,2024-07-29,Inland Legal Services,Logistics,2768.66,C.Choi
INV-10074,2024-01-21,Apex Office Supplies,Legal,171.1,S.Park
INV-10113,2024-08-02,Inland Legal Services,Logistics,4737.39,S.Park
INV-10598,2024-12-06,Summit Facilities Mgmt,Office Supplies,1212.13,J.Kim
INV-BLAW-0011,2024-05-21,Blue Ridge Consulting,Consulting,4993.78,J.Kim
INV-10390,2024-09-12,Blue Ridge Consulting,Logistics,164.28,C.Choi
INV-10104,2024-09-15,NovaTech Systems,Catering,7238.0,C.Choi
INV-10114,2024-08-11,NovaTech Systems,Staffing,1520.62,J.Kim
INV-10417,2024-06-01,Blue Ridge Consulting,Marketing,452.9,S.Park
INV-10525,2024-02-13,Summit Facilities Mgmt,Logistics,2290.63,S.Park
INV-10457,2024-03-10,Inland Legal Services,Catering,712.15,M.Lee
INV-10409,2024-03-28,Apex Office Supplies,Logistics,11615.63,C.Choi
INV-10092,2024-01-01,Inland Legal Services,Marketing,4957.03,M.Lee
INV-10930,2024-03-01,Riverfront Catering,Consulting,5493.72,C.Choi
INV-10089,2024-06-02,Titan Logistics Co.,Logistics,674.03,M.Lee
INV-10336,2024-07-01,Summit Facilities Mgmt,Consulting,176.71,M.Lee
INV-DLT-F0006,2024-09-28,Delta Management Group,Management,91089.7,S.Park
INV-10921,2024-04-02,Apex Office Supplies,Logistics,717.76,C.Choi
INV-10933,2024-09-03,Blue Ridge Consulting,Catering,44.75,M.Lee
INV-10605,2024-03-09,Inland Legal Services,Office Supplies,2635.41,J.Kim
INV-10593,2024-10-22,Summit Facilities Mgmt,Office Supplies,2441.32,C.Choi
INV-10611,2024-11-03,Titan Logistics Co.,Software Licenses,1719.82,M.Lee
INV-10094,2024-12-11,NovaTech Systems,Facilities,6158.1,C.Choi
INV-10011,2024-04-29,Summit Facilities Mgmt,Consulting,253.22,C.Choi
INV-10396,2024-10-14,Inland Legal Services,Facilities,386.9,M.Lee
INV-10533,2024-12-21,Summit Facilities Mgmt,Facilities,607.95,C.Choi
INV-10043,2024-01-28,Inland Legal Services,Consulting,6563.16,J.Kim
INV-10042,2024-12-03,Blue Ridge Consulting,Catering,1629.32,M.Lee
INV-10329,2024-11-23,Apex Office Supplies,Software Licenses,3182.78,C.Choi
INV-10167,2024-12-18,NovaTech Systems,Marketing,9967.79,C.Choi
INV-10497,2024-09-29,NovaTech Systems,Logistics,1523.39,C.Choi
INV-10876,2024-09-30,Inland Legal Services,IT Services,5640.18,J.Kim
INV-10597,2024-05-20,Summit Facilities Mgmt,Consulting,749.28,M.Lee
INV-10756,2024-09-03,Summit Facilities Mgmt,Consulting,11445.16,M.Lee
INV-10100,2024-12-01,Inland Legal Services,IT Services,505.81,J.Kim
INV-10426,2024-10-08,Meridian IT Solutions,Office Supplies,758.67,C.Choi
INV-10178,2024-09-22,Inland Legal Services,Legal,1424.83,C.Choi
INV-10444,2024-04-23,Summit Facilities Mgmt,Facilities,558.9,S.Park
INV-10416,2024-05-22,Blue Ridge Consulting,Logistics,1902.93,M.Lee
INV-10870,2024-11-18,Titan Logistics Co.,Facilities,1541.86,C.Choi
INV-10882,2024-11-27,Summit Facilities Mgmt,Legal,5752.51,J.Kim
INV-10680,2024-05-03,Titan Logistics Co.,Marketing,3461.66,J.Kim
INV-10177,2024-01-01,Inland Legal Services,Logistics,1725.95,C.Choi
INV-10395,2024-07-25,Summit Facilities Mgmt,Legal,252.35,J.Kim
INV-10911,2024-07-06,Inland Legal Services,Software Licenses,9446.55,J.Kim
INV-10793,2024-03-01,Riverfront Catering,Marketing,112.53,J.Kim
INV-BLAW-0010,2024-10-13,Greenway Staffing,Consulting,9990.75,J.Kim
INV-10684,2024-03-30,NovaTech Systems,Staffing,3444.42,J.Kim
INV-10383,2024-01-31,NovaTech Systems,Office Supplies,1126.44,C.Choi
INV-BLAW-0006,2024-05-02,Apex Office Supplies,Consulting,998.45,J.Kim
INV-10751,2024-11-03,Meridian IT Solutions,IT Services,3145.79,S.Park
INV-10257,2024-07-09,Titan Logistics Co.,Office Supplies,198.81,J.Kim
INV-10538,2024-04-17,NovaTech Systems,Staffing,1103.56,M.Lee
INV-10335,2024-01-23,Inland Legal Services,Catering,348.26,M.Lee
INV-10015,2024-11-23,Summit Facilities Mgmt,Logistics,229.92,S.Park
INV-10324,2024-02-20,Apex Office Supplies,Legal,731.12,S.Park
INV-10758,2024-05-03,Blue Ridge Consulting,IT Services,835.04,C.Choi
INV-10222,2024-10-12,Inland Legal Services,Legal,801.32,J.Kim
INV-10179,2024-04-14,NovaTech Systems,Marketing,6125.22,S.Park
INV-DLT-F0001,2024-10-02,Delta Management Group,Management,68629.71,S.Park
INV-10022,2024-02-26,Titan Logistics Co.,Office Supplies,431.61,S.Park
INV-10356,2024-01-17,Inland Legal Services,Software Licenses,396.03,S.Park
INV-10666,2024-11-18,Inland Legal Services,Consulting,1437.3,M.Lee
INV-10861,2024-06-18,Blue Ridge Consulting,Legal,2804.5,M.Lee
INV-10340,2024-08-22,Titan Logistics Co.,IT Services,177.29,M.Lee
INV-10431,2024-05-28,Meridian IT Solutions,IT Services,52.5,J.Kim
INV-10551,2024-08-21,Coastal Marketing Group,Facilities,1571.66,C.Choi
INV-10833,2024-01-25,NovaTech Systems,Logistics,905.95,C.Choi
INV-10203,2024-07-10,Apex Office Supplies,Catering,4667.7,S.Park
INV-10630,2024-05-17,Meridian IT Solutions,Consulting,394.17,J.Kim
INV-10093,2024-10-23,Blue Ridge Consulting,Software Licenses,6442.27,M.Lee
INV-10558,2024-01-03,Greenway Staffing,Facilities,10679.88,S.Park
INV-10068,2024-05-08,Summit Facilities Mgmt,IT Services,10437.34,J.Kim
INV-10622,2024-03-19,Riverfront Catering,Marketing,30255.01,J.Kim
INV-10284,2024-02-10,Greenway Staffing,Catering,36066.63,M.Lee
INV-10844,2024-01-28,Apex Office Supplies,IT Services,2100.24,S.Park
INV-10434,2024-08-27,Meridian IT Solutions,Marketing,1812.31,S.Park
INV-10153,2024-09-02,Greenway Staffing,Staffing,2228.38,M.Lee
INV-10075,2024-06-30,Blue Ridge Consulting,Logistics,14405.02,C.Choi
INV-10730,2024-03-16,Titan Logistics Co.,Software Licenses,9293.7,J.Kim
INV-10446,2024-10-02,Riverfront Catering,Facilities,582.07,S.Park
INV-10188,2024-06-01,Apex Office Supplies,Software Licenses,843.77,C.Choi
INV-10271,2024-08-05,Summit Facilities Mgmt,Staffing,2965.78,C.Choi
INV-10236,2024-11-01,Blue Ridge Consulting,IT Services,1963.34,J.Kim
INV-10487,2024-10-26,Apex Office Supplies,Software Licenses,683.08,C.Choi
INV-10117,2024-12-05,Inland Legal Services,IT Services,3575.73,J.Kim
INV-10943,2024-09-04,Coastal Marketing Group,Marketing,7559.63,M.Lee
INV-10512,2024-03-12,Riverfront Catering,Consulting,1458.18,M.Lee
INV-10825,2024-11-13,NovaTech Systems,Software Licenses,6687.84,C.Choi
INV-10591,2024-09-30,Coastal Marketing Group,Catering,250.22,S.Park
INV-10126,2024-02-25,Meridian IT Solutions,Software Licenses,149.82,J.Kim
INV-10116,2024-11-14,NovaTech Systems,Logistics,389.67,J.Kim
INV-10473,2024-10-02,Summit Facilities Mgmt,Staffing,6186.88,S.Park
INV-10693,2024-03-30,Blue Ridge Consulting,Catering,12470.92,M.Lee
INV-10057,2024-10-16,Inland Legal Services,Logistics,6526.01,M.Lee
INV-10863,2024-11-28,Riverfront Catering,IT Services,2430.56,J.Kim
INV-10912,2024-04-24,Riverfront Catering,Logistics,2263.0,C.Choi
INV-10369,2024-09-02,Titan Logistics Co.,Logistics,901.71,C.Choi
INV-10268,2024-08-02,Riverfront Catering,Staffing,1216.78,M.Lee
INV-10046,2024-02-08,Summit Facilities Mgmt,Staffing,5869.67,J.Kim
INV-10349,2024-06-16,Coastal Marketing Group,Marketing,1492.04,M.Lee
INV-10195,2024-08-13,Titan Logistics Co.,Consulting,593.07,C.Choi
INV-DUP-0009,2024-08-30,Blue Ridge Consulting,Various,17000.0,M.Lee
INV-10834,2024-09-17,Greenway Staffing,Office Supplies,7908.71,S.Park
INV-10736,2024-09-08,Summit Facilities Mgmt,Consulting,2276.57,S.Park
INV-10263,2024-11-14,Inland Legal Services,Software Licenses,144.84,J.Kim
INV-10443,2024-09-14,Meridian IT Solutions,Marketing,7613.03,J.Kim
INV-10675,2024-10-05,Riverfront Catering,IT Services,897.82,C.Choi
INV-10304,2024-12-23,Summit Facilities Mgmt,Catering,395.08,S.Park
INV-10341,2024-04-12,Blue Ridge Consulting,IT Services,2251.42,M.Lee
INV-SHELL-0004,2024-02-24,Alpha Business Services LLC,Consulting,695797.51,J.Kim
INV-10149,2024-05-31,Titan Logistics Co.,Facilities,542.93,M.Lee
INV-10124,2024-12-08,Blue Ridge Consulting,Consulting,3066.13,S.Park
INV-10786,2024-03-04,Greenway Staffing,Legal,14526.73,J.Kim
INV-10050,2024-08-20,Inland Legal Services,Marketing,2420.37,C.Choi
INV-10353,2024-12-13,Coastal Marketing Group,Office Supplies,7244.83,J.Kim
INV-10927,2024-03-08,Blue Ridge Consulting,Consulting,2538.91,J.Kim
INV-10142,2024-02-17,NovaTech Systems,Marketing,80.84,S.Park
INV-10470,2024-02-01,Inland Legal Services,Logistics,1411.56,S.Park
INV-10399,2024-07-20,Meridian IT Solutions,Legal,1391.05,M.Lee
INV-10625,2024-05-02,Inland Legal Services,IT Services,241.96,S.Park
INV-10320,2024-09-19,Summit Facilities Mgmt,Office Supplies,8672.37,C.Choi
INV-10019,2024-10-14,Summit Facilities Mgmt,Logistics,507.21,M.Lee
INV-10809,2024-07-02,Meridian IT Solutions,Software Licenses,4331.96,J.Kim
INV-10790,2024-08-30,Titan Logistics Co.,Office Supplies,10946.04,S.Park
INV-10808,2024-09-04,Inland Legal Services,Software Licenses,1416.23,C.Choi
INV-10407,2024-12-18,Inland Legal Services,IT Services,7334.43,C.Choi
INV-10537,2024-10-06,Greenway Staffing,Office Supplies,1279.08,J.Kim
INV-10620,2024-07-22,Apex Office Supplies,Logistics,183.01,M.Lee
INV-10038,2024-11-19,Apex Office Supplies,IT Services,547.1,S.Park
INV-10175,2024-07-24,Summit Facilities Mgmt,Logistics,14458.36,J.Kim
INV-10245,2024-02-25,Coastal Marketing Group,Staffing,6411.5,S.Park
INV-10828,2024-03-25,Titan Logistics Co.,Staffing,1238.72,S.Park
INV-10667,2024-02-03,Titan Logistics Co.,Facilities,6999.5,C.Choi
INV-10754,2024-09-23,NovaTech Systems,Software Licenses,769.35,C.Choi
INV-10858,2024-06-11,Titan Logistics Co.,Logistics,232.24,S.Park
INV-10154,2024-05-09,Meridian IT Solutions,Staffing,540.81,J.Kim
INV-10287,2024-05-11,Blue Ridge Consulting,Facilities,3070.16,S.Park
INV-10602,2024-06-24,Apex Office Supplies,Consulting,3954.64,C.Choi
INV-10569,2024-04-05,NovaTech Systems,Legal,1317.69,C.Choi
INV-10743,2024-07-03,Apex Office Supplies,Facilities,8252.44,M.Lee
INV-10017,2024-02-03,Coastal Marketing Group,Facilities,10096.79,M.Lee
INV-10127,2024-07-11,Summit Facilities Mgmt,Catering,5451.2,S.Park
INV-10322,2024-07-21,Apex Office Supplies,Logistics,4569.9,M.Lee
INV-10255,2024-07-10,Coastal Marketing Group,Office Supplies,5773.51,C.Choi
INV-10657,2024-03-02,NovaTech Systems,Logistics,1769.21,M.Lee
INV-SHELL-0002,2024-10-21,Alpha Business Services LLC,Consulting,452046.64,J.Kim
INV-10190,2024-07-12,Riverfront Catering,Staffing,258.14,M.Lee
INV-10115,2024-12-13,Inland Legal Services,Catering,2371.77,S.Park
INV-10616,2024-01-07,Riverfront Catering,Legal,450.07,M.Lee
INV-10606,2024-11-08,Riverfront Catering,Office Supplies,4714.26,C.Choi
INV-10180,2024-12-23,Summit Facilities Mgmt,Staffing,12556.17,J.Kim
INV-10301,2024-12-13,Coastal Marketing Group,Catering,1092.08,M.Lee
INV-10759,2024-01-14,Coastal Marketing Group,Staffing,13229.66,M.Lee
INV-10712,2024-11-16,Summit Facilities Mgmt,Software Licenses,233.94,C.Choi
INV-10723,2024-07-21,NovaTech Systems,IT Services,3529.59,S.Park
INV-10685,2024-11-04,Titan Logistics Co.,Facilities,3434.75,J.Kim
INV-DLT-N0012,2024-04-27,Delta Management Group,Management,6000.4,S.Park
INV-10517,2024-02-13,Greenway Staffing,Software Licenses,4087.59,M.Lee
INV-DLT-F0002,2024-10-22,Delta Management Group,Management,82926.82,S.Park
INV-10045,2024-03-12,Blue Ridge Consulting,Catering,4895.68,S.Park
INV-10909,2024-01-21,NovaTech Systems,Legal,3509.59,J.Kim
INV-10157,2024-08-01,Blue Ridge Consulting,Software Licenses,2769.58,S.Park
INV-10851,2024-12-26,Blue Ridge Consulting,Legal,231.49,S.Park
INV-10171,2024-03-30,Summit Facilities Mgmt,Staffing,4577.61,C.Choi
INV-10016,2024-01-29,Coastal Marketing Group,Facilities,146.52,J.Kim
INV-10511,2024-05-03,Summit Facilities Mgmt,Software Licenses,1728.11,C.Choi
INV-10048,2024-09-05,Blue Ridge Consulting,Staffing,2463.3,S.Park
INV-DLT-N0004,2024-08-14,Delta Management Group,Management,6415.14,S.Park
INV-10940,2024-08-04,Summit Facilities Mgmt,Software Licenses,112.13,M.Lee
INV-10515,2024-08-18,Apex Office Supplies,Staffing,13749.72,S.Park
INV-BLAW-0002,2024-03-30,NovaTech Systems,Consulting,9984.81,J.Kim
INV-10480,2024-06-19,NovaTech Systems,Marketing,1611.43,J.Kim
INV-10283,2024-02-24,Coastal Marketing Group,Facilities,593.46,C.Choi
INV-10718,2024-05-17,Summit Facilities Mgmt,Software Licenses,1303.42,J.Kim
INV-10877,2024-02-07,Greenway Staffing,Legal,2211.46,J.Kim
INV-10225,2024-04-29,Coastal Marketing Group,Staffing,4817.72,J.Kim
INV-10026,2024-08-20,Summit Facilities Mgmt,IT Services,3620.27,M.Lee
INV-BLAW-0004,2024-11-02,Riverfront Catering,Consulting,4996.07,J.Kim
INV-10437,2024-11-23,Meridian IT Solutions,Catering,3083.83,C.Choi
INV-BLAW-0001,2024-12-30,Greenway Staffing,Consulting,991.18,J.Kim
INV-10364,2024-10-08,Coastal Marketing Group,Logistics,804.44,M.Lee
INV-10229,2024-10-02,Titan Logistics Co.,Office Supplies,3333.03,C.Choi
INV-10037,2024-10-10,Coastal Marketing Group,Facilities,309.91,S.Park
INV-SHELL-0003,2024-03-30,Alpha Business Services LLC,Consulting,629139.24,J.Kim
INV-10374,2024-06-14,Summit Facilities Mgmt,Facilities,12554.87,M.Lee
INV-10469,2024-03-14,Blue Ridge Consulting,Logistics,1076.82,S.Park
INV-DLT-N0000,2024-09-14,Delta Management Group,Management,4735.63,S.Park
INV-10850,2024-04-13,Apex Office Supplies,Software Licenses,216.34,C.Choi
INV-10704,2024-02-23,Coastal Marketing Group,Consulting,445.43,M.Lee
INV-10841,2024-11-28,Meridian IT Solutions,Office Supplies,792.2,M.Lee
INV-10194,2024-03-05,NovaTech Systems,Logistics,479.71,M.Lee
INV-10854,2024-05-15,Inland Legal Services,Office Supplies,6492.83,S.Park
INV-10864,2024-11-24,Coastal Marketing Group,Software Licenses,5276.66,S.Park
INV-10503,2024-02-11,Blue Ridge Consulting,IT Services,3000.91,J.Kim
INV-DLT-N0002,2024-05-11,Delta Management Group,Management,6190.28,S.Park
INV-10830,2024-07-20,Titan Logistics Co.,Facilities,105.17,C.Choi
INV-10579,2024-02-14,Coastal Marketing Group,Staffing,1266.17,J.Kim
INV-DLT-N0001,2024-02-29,Delta Management Group,Management,6007.36,S.Park
INV-10162,2024-10-31,Inland Legal Services,Staffing,18233.52,M.Lee
INV-10908,2024-07-03,Blue Ridge Consulting,Catering,12731.56,C.Choi
INV-10152,2024-09-08,Meridian IT Solutions,Consulting,5034.06,J.Kim
INV-10801,2024-07-03,Apex Office Supplies,Legal,240.8,C.Choi
INV-DUP-0003,2024-06-22,Titan Logistics Co.,Various,8799.99,M.Lee
INV-10755,2024-09-18,Greenway Staffing,Legal,19324.79,M.Lee
INV-10111,2024-08-03,Inland Legal Services,Catering,1765.41,J.Kim
INV-10226,2024-10-14,Greenway Staffing,Legal,430.21,S.Park
